| time |   in   |reset|load | inc |  out   |
| 0+   |      0 |  0  |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |  0  |      0 |
| 1+   |      0 |  0  |  0  |  1  |      0 |
| 2    |      0 |  0  |  0  |  1  |      1 |
| 2+   | -32123 |  0  |  0  |  1  |      1 |
| 3    | -32123 |  0  |  0  |  1  |      2 |
| 3+   | -32123 |  0  |  1  |  1  |      2 |
| 4    | -32123 |  0  |  1  |  1  | -32122 |
| 4+   | -32123 |  0  |  0  |  1  | -32122 |
| 5    | -32123 |  0  |  0  |  1  | -32121 |
| 5+   | -32123 |  0  |  0  |  1  | -32121 |
| 6    | -32123 |  0  |  0  |  1  | -32120 |
| 6+   |  12345 |  0  |  1  |  0  | -32120 |
| 7    |  12345 |  0  |  1  |  0  |  12345 |
| 7+   |  12345 |  1  |  1  |  0  |  12345 |
| 8    |  12345 |  1  |  1  |  0  |      0 |
| 8+   |  12345 |  0  |  1  |  1  |      0 |
| 9    |  12345 |  0  |  1  |  1  |  12346 |
| 9+   |  12345 |  1  |  1  |  1  |  12346 |
| 10   |  12345 |  1  |  1  |  1  |      1 |
| 10+  |  12345 |  0  |  0  |  1  |      1 |
| 11   |  12345 |  0  |  0  |  1  |      2 |
| 11+  |  12345 |  1  |  0  |  1  |      2 |
| 12   |  12345 |  1  |  0  |  1  |      1 |
| 12+  |      0 |  0  |  1  |  1  |      1 |
| 13   |      0 |  0  |  1  |  1  |      1 |
| 13+  |      0 |  0  |  0  |  1  |      1 |
| 14   |      0 |  0  |  0  |  1  |      2 |
| 14+  |  22222 |  1  |  0  |  0  |      2 |
| 15   |  22222 |  1  |  0  |  0  |      0 |
